sam,percSwimming,percElongated,percSettled
1CCA,0.959490005,0.971781305,0.438191438
1CVA,0.957039627,0.966988728,0
1CCH,0.970560081,0.916600529,0.251851852
1CVH,0.886830461,0.875219298,0.012345679
1DCA,0.959938142,0.948018648,0.437277537
1DVA,0.844595912,0.961904762,0.018518519
1DCH,0.976795264,0.916600529,0.251851852
1DVH,0.799876293,0.965608466,0.190873016
2ACA,0.95602904,0.990740741,NA
2AVA,0.971268315,0.938148148,NA
2ACH,0.9807818,0.978079437,0.314758852
2AVH,0.979357298,0.911992945,0.381944444
2DCA,0.915638528,0.957502374,0.059259259
2DVA,0.92787814,0.801457801,0.665873016
2DCH,0.931199125,0.959862578,0.234076109
2DVH,0.938432646,0.962037037,0.262237762
2CCA,0.966630592,0.986772487,0.513800705
2CVA,0.954666861,0.957264957,0.172222222
2CCH,0.860342523,NA,0.598817232
2CVH,1,NA,0.173789174
